,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck
0,Earth,True,TRAPPIST-1e,27.0,False,0.0,0.0,0.0,0.0,0.0
1,Earth,False,TRAPPIST-1e,19.0,False,0.0,2.302585092994046,0.0,7.945909598613133,0.0
2,Europa,True,55 Cancri e,31.0,False,0.0,0.0,0.0,0.0,0.0
3,Europa,False,TRAPPIST-1e,38.0,False,0.0,8.802823159741887,0.0,5.204006687076795,6.373319789577012
4,Earth,False,TRAPPIST-1e,20.0,False,2.3978952727983707,0.0,6.455198563340122,0.0,0.0
5,Earth,False,TRAPPIST-1e,31.0,False,0.0,7.38770923908104,5.575949103146316,4.736198448394496,4.110873864173311
6,Europa,True,55 Cancri e,21.0,False,0.0,0.0,0.0,0.0,0.0
7,Europa,True,TRAPPIST-1e,20.0,False,0.0,0.0,0.0,0.0,0.0
8,Europa,True,55 Cancri e,23.0,False,0.0,0.0,0.0,0.0,0.0
9,Earth,False,55 Cancri e,24.0,False,0.0,6.461468176353717,0.0,0.0,0.0
10,Earth,False,TRAPPIST-1e,19.0,False,5.8289456176102075,1.3862943611198906,4.919980925828125,5.472270673671475,0.0
11,Europa,False,TRAPPIST-1e,45.0,False,6.838405200847344,4.31748811353631,0.0,2.0794415416798357,6.918695219020472
12,Europa,False,TRAPPIST-1e,44.0,False,0.0,7.3537223303996315,0.0,2.70805020110221,5.41610040220442
13,Mars,True,TRAPPIST-1e,46.0,False,0.0,0.0,0.0,0.0,0.0
14,Earth,False,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,7.431299675155903,4.532599493153256
15,Earth,False,TRAPPIST-1e,27.0,False,0.0,0.0,0.0,6.806829360392176,0.0
16,Earth,False,TRAPPIST-1e,20.0,False,1.0986122886681098,2.5649493574615367,5.537334267018537,6.126869184114185,6.53813982376767
17,Europa,True,TRAPPIST-1e,44.0,False,0.0,0.0,0.0,0.0,0.0
18,Europa,False,TRAPPIST-1e,29.0,False,0.0,8.950143756459262,5.497168225293202,6.345636360828596,5.840641657373398
19,Europa,False,TRAPPIST-1e,40.0,False,3.295836866004329,7.563200592358071,2.1972245773362196,8.05356916913454,4.1588830833596715
20,Earth,False,TRAPPIST-1e,30.0,False,0.0,6.778784897685177,3.295836866004329,1.3862943611198906,0.0
21,Earth,False,TRAPPIST-1e,14.0,False,0.0,0.0,0.0,7.383989457978509,0.0
22,Europa,True,55 Cancri e,31.0,False,0.0,0.0,0.0,0.0,0.0
23,Europa,False,55 Cancri e,27.0,False,0.0,8.85051762174672,0.0,1.6094379124341003,7.119635638017636
24,Europa,False,55 Cancri e,66.0,False,3.6888794541139363,8.77230041793584,0.0,7.251344983372214,5.049856007249537
25,Earth,False,TRAPPIST-1e,24.0,False,7.487173694213739,2.1972245773362196,2.9444389791664403,2.9444389791664403,0.0
26,Europa,False,55 Cancri e,19.0,False,5.683579767338681,8.159374736775426,8.570544366913232,4.77912349311153,6.0473721790462776
27,Earth,True,TRAPPIST-1e,36.0,False,0.0,0.0,0.0,0.0,0.0
28,Earth,False,TRAPPIST-1e,21.0,False,0.0,6.429719478039138,2.5649493574615367,1.3862943611198906,0.0
29,Earth,True,55 Cancri e,18.0,False,0.0,0.0,0.0,0.0,0.0
30,Earth,True,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0
31,Earth,False,TRAPPIST-1e,19.0,False,6.395261598115449,0.0,3.4339872044851463,0.0,0.0
32,Earth,True,TRAPPIST-1e,48.0,False,0.0,0.0,0.0,0.0,0.0
33,Earth,False,TRAPPIST-1e,23.0,False,2.70805020110221,6.769641976852503,0.0,0.0,3.1780538303479458
34,Earth,False,TRAPPIST-1e,24.0,False,6.182084906716632,0.0,4.477336814478207,5.3706380281276624,0.0
35,Earth,False,TRAPPIST-1e,19.0,False,0.0,3.044522437723423,4.912654885736052,5.583496308781699,5.908082938168931
36,Mars,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0
37,Earth,False,TRAPPIST-1e,27.0,False,4.204692619390966,7.459914766241105,0.0,0.0,2.772588722239781
38,Earth,True,TRAPPIST-1e,6.0,False,0.0,0.0,0.0,0.0,0.0
39,Earth,False,TRAPPIST-1e,33.0,False,0.0,0.0,0.0,6.7650389767805414,0.0
40,Earth,False,PSO J318.5-22,23.0,False,0.0,0.0,7.119635638017636,0.0,0.0
41,Earth,False,PSO J318.5-22,30.0,False,0.6931471805599453,0.0,7.368970402194793,0.0,6.184148890937483
42,Earth,False,TRAPPIST-1e,26.0,False,0.0,2.8903717578961645,6.905753276311464,0.0,0.0
43,Earth,False,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0
44,Earth,False,TRAPPIST-1e,20.0,False,0.6931471805599453,0.0,0.0,6.396929655216146,0.0
45,Earth,True,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0
46,Earth,False,TRAPPIST-1e,34.0,False,0.0,0.0,3.6888794541139363,0.6931471805599453,6.322565239927284
47,Earth,False,PSO J318.5-22,24.0,False,0.0,3.1354942159291497,4.418840607796598,0.0,6.532334292222349
48,Earth,False,TRAPPIST-1e,29.0,False,2.70805020110221,6.76849321164863,0.0,0.6931471805599453,0.0
49,Earth,False,TRAPPIST-1e,20.0,False,6.945051063725834,0.6931471805599453,1.0986122886681098,0.0,7.3632795869630385
50,Earth,True,55 Cancri e,5.0,False,0.0,0.0,0.0,0.0,0.0
51,Europa,True,55 Cancri e,22.0,False,0.0,0.0,0.0,0.0,0.0
52,Europa,False,TRAPPIST-1e,16.0,False,8.28576542051433,7.96311205897929,0.0,0.0,7.807510042216193
53,Earth,True,55 Cancri e,7.0,False,0.0,0.0,0.0,0.0,0.0
54,Earth,False,55 Cancri e,36.0,False,0.0,0.0,6.349138991379798,3.6109179126442243,0.0
55,Mars,False,55 Cancri e,26.0,False,3.8501476017100584,5.755742213586912,7.743269700829004,0.0,4.584967478670572
56,Earth,False,TRAPPIST-1e,40.0,False,6.025865973825314,6.244166900663736,0.6931471805599453,0.0,0.0
57,Earth,True,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,0.0,0.0
58,Mars,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0
59,Mars,False,TRAPPIST-1e,23.0,False,5.937536205082426,5.998936561946683,0.0,0.0,6.234410725718371
60,Mars,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0
61,Europa,False,55 Cancri e,30.0,False,0.0,9.088624613292087,8.717518372649767,3.4011973816621555,8.16735198705607
62,Earth,False,TRAPPIST-1e,56.0,False,0.0,3.8066624897703196,3.1780538303479458,6.584791392385716,0.0
63,Europa,True,TRAPPIST-1e,36.0,False,0.0,0.0,0.0,0.0,0.0
64,Europa,True,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0
